[16:48:57] [main/INFO]: ModLauncher running: args [--username, kaito06241234, --version, forge-43.2.14, --gameDir, C:\Users\niino\curseforge\minecraft\Instances\Chunk Block, --assetsDir, C:\Users\niino\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 6b3bab0743834251b460ff32b472be15, --accessToken, ????????, --clientId, MjdkODQ2N2ItMDRhZS00NzJkLWJlMTItZmQ0OWIzMWEyZjkw, --xuid, 2535473698352415, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.14, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[16:48:57] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[16:49:00] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/niino/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2397!/ Service=ModLauncher Env=CLIENT
[16:49:01] [main/INFO]: Found mod file ad_astra-forge-1.19.2-1.12.6.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file AdChimneys-1.19.2-9.1.11.0-build.0897.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file AdvancementPlaques-1.19.2-1.4.7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file AE2WTLib-12.9.5.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file alltheores-2.0.2-1.19.2-43.1.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Applied-Mekanistics-1.3.4.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file appliedcooking-2.0.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file appliedenergistics2-forge-12.9.5.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Aquaculture-1.19.2-2.4.8.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file architectury-6.5.85-forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ArmorStatues-v4.0.4-1.19.2-Forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.6.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file auudio_forge_1.0.3_MC_1.19.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file awesomedungeon-forge-1.19.2-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file awesomedungeonend-forge-1.19.2-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file awesomedungeonnether-forge-1.19.2-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file awesomedungeonocean-forge-1.19.2-3.3.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BadMobs-1.19.2-16.1.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BetterF3-4.0.0-Forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BetterFurnacesReforged-1.19.2-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file bettertaskbar-forge-mc1.18.2-mc1.19.2-1.5.1.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BetterThirdPerson-Forge-1.19-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BiomesOPlenty-1.19.2-17.1.1.162.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file blue_skies-1.19.2-1.3.20.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.3.20.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Botania-1.19.2-440-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BotanyPots-Forge-1.19.2-9.0.33.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file BotanyTrees-Forge-1.19.2-5.0.8.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file botarium-forge-1.19.2-1.8.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file catalogue-1.7.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file chat_heads-0.10.16-forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file ChunkByChunk-forge-1.19.2-2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file citadel-2.1.4-1.19.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file cloth-config-8.3.103-forge.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Clumps-forge-1.19.2-9.0.0+14.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file CodeChickenLib-1.19.2-4.3.1.481-universal.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file collective-1.19.2-6.62.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file CommonCapabilities-1.19.2-2.9.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file compost-forge-1.19.2-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file configured-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file connectedglass-1.1.7-forge-mc1.19.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file constructionwand-1.19.2-2.10.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file Controlling-forge-1.19.2-10.0+7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file cookingforblockheads-forge-1.19.2-13.3.2.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file CorgiLib-forge-1.19.2-1.0.0.34.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
[16:49:01] [main/INFO]: Found mod file craftingtweaks-forge-1.19.2-15.1.7.jar of type MOD with provider {mods folder locator at C:\Users\niino\curseforge\minecraft\Instances\Chunk Block\mods}
